[2018-05-30T10:54:23.864Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:24.005Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:24.377Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:24.547Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:24.715Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:24.884Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:25.042Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:25.201Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:25.357Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:25.514Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:25.683Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:25.852Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:26.009Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:26.182Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:26.325Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:26.493Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:26.662Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:26.830Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:27.001Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:27.169Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:27.325Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:27.472Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:54:41.907Z] AzureService | getMessage: test cpms_ocpp_message_metervalues
[2018-05-30T10:59:58.248Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:00:04.056Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:04:26.493Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:04:30.382Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:09:49.265Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:09:51.946Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:16:52.213Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:18:38.028Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:18:42.755Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:18:45.666Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:18:50.701Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:18:52.401Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:18:54.264Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:18:55.570Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:18:58.338Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:19:00.414Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:19:03.525Z] AzureService | getMessage: test cpms_ocpp_message
[2018-05-30T11:20:26.182Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:21:28.158Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:21:30.862Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:21:56.915Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:21:58.559Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:22:54.987Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:22:56.835Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:23:44.671Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:23:46.974Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:24:02.297Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:24:55.929Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:24:59.491Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:25:37.376Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:25:38.479Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:25:41.630Z] AzureService | getMessage: archives charge_session_start_requested
[2018-05-30T11:25:52.368Z] AzureService | getMessage: charging-profiles charge_session_start_requested
[2018-05-30T11:25:58.044Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:26:01.608Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:26:04.685Z] AzureService | getMessage: charging-profiles charge_session_start_requested
[2018-05-30T11:26:05.796Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:27:14.548Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:27:32.769Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:27:36.384Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:27:43.198Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:27:50.564Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:29:18.213Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:29:45.313Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:29:58.573Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:30:02.418Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:30:03.943Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:30:18.698Z] AzureService | login
[2018-05-30T11:30:23.891Z] AzureService | getAccessTokenByLoginId: 
[2018-05-30T11:30:28.912Z] AzureService | getAccessTokenByLoginId: 
[2018-05-30T11:30:33.891Z] AzureService | getAccessTokenByLoginId: 
[2018-05-30T11:30:38.890Z] AzureService | getAccessTokenByLoginId: 
[2018-05-30T11:30:43.887Z] AzureService | getAccessTokenByLoginId: 
[2018-05-30T11:30:48.891Z] AzureService | getAccessTokenByLoginId: 
[2018-05-30T11:30:53.889Z] AzureService | getAccessTokenByLoginId: 
[2018-05-30T11:30:53.930Z] AzureService | getUserSubscriptions: 
[2018-05-30T11:30:54.144Z] AzureService | getResourceGroups: 
[2018-05-30T11:30:54.342Z] AzureService | getNamespaces: emobility-dev
[2018-05-30T11:31:03.998Z] AzureService | getAllTopics: emobility-dev emobility-dev
[2018-05-30T11:31:38.049Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:31:49.663Z] AzureService | getMessage: charging-profiles charge_session_error
[2018-05-30T11:31:51.525Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:31:53.685Z] AzureService | getSubscriptionsByTopic: 
[2018-05-30T11:31:54.820Z] AzureService | getSubscriptionsByTopic: 
